POSTNR	POSTSTAD	POSTNR- OG STAD	BRUKSOMRÅDE	FOLKETAL	BYDEL	KOMMNR	KOMMUNE	FYLKE	LAT	LON	DATAKVALITET	DATAKVALITETSFORKLARING	SIST OPPDATERT
1409	Skotbu	1409 SKOTBU	Gate-/veg-adresse	485		213	Ski	Akershus	59.6650	10.9489	2	Koordinatane er retta av Erik Bolstad	2013-09-17 14:08:03
1410	Kolbotn	1410 KOLBOTN	Gate-/veg-adresse	6747		217	Oppegård	Akershus	59.81135	10.79585	1	Koordinatane gjeld postkontoret	2013-09-17 14:08:03
1411	Kolbotn	1411 KOLBOTN	Postboksar			217	Oppegård	Akershus	59.8113	10.7958	2	Koordinatane er retta av Erik Bolstad	2012-09-28 16:55:30
1412	Sofiemyr	1412 SOFIEMYR	Gate-/veg-adresse	4906		217	Oppegård	Akershus	59.7972	10.8171	2	Koordinatane er retta av Erik Bolstad	2013-09-17 14:08:03
1413	Tårnåsen	1413 TÅRNÅSEN	Gateadresser og postboksar	3137		217	Oppegård	Akershus	59.81904	10.8152	1	Koordinatane gjeld postkontoret	2013-09-17 14:08:03
1414	Trollåsen	1414 TROLLÅSEN	Gate-/veg-adresse	2036		217	Oppegård	Akershus	59.8191	10.7802	2	Koordinatane er retta av Erik Bolstad	2013-09-19 22:47:32
1415	Oppegård	1415 OPPEGÅRD	Gate-/veg-adresse	7807		217	Oppegård	Akershus	59.7671	10.8111	2	Koordinatane er retta av Erik Bolstad	2013-09-19 22:47:36
1416	Oppegård	1416 OPPEGÅRD	Postboksar			217	Oppegård	Akershus	59.77398	10.80323	1	Koordinatane gjeld postkontoret	2011-10-11 09:57:16
1417	Sofiemyr	1417 SOFIEMYR	Postboksar			217	Oppegård	Akershus	59.80340	10.81332	1	Koordinatane gjeld postkontoret	2011-10-11 09:55:47
1418	Kolbotn	1418 KOLBOTN	Postboksar			217	Oppegård	Akershus	59.8113	10.7958	6	Usikker plassering	2014-10-04 15:36:06
